geneID transcriptID
11233 SCARB2 NM_001204255
11234 SCARB2 NM_005506
11235 FAM47E NM_001242936
11236 FAM47E NM_001136570
11237 FAM47E-STBD1 NM_001242939
11238 STBD1 NM_003943
11239 CCDC158 NM_001042784
11240 SHROOM3 NM_020859
11241 MIR4450 NR_039654
11242 SOWAHB NM_001029870
11243 SEPT11 NM_018243
11244 CCNI NM_006835
11245 CCNG2 NM_004354
11246 CXCL13 NM_006419
11247 CNOT6L NM_144571
11248 CNOT6L NM_001286790
11249 MRPL1 NM_020236
11250 FRAS1 NM_001166133
11251 FRAS1 NM_025074
11252 ANXA3 NM_005139
11253 LINC01094 NR_038304
11254 LINC01094 NR_038303
11255 LINC01094 NR_038306
11256 LINC01094 NR_038308
11257 LINC01094 NR_038305
11258 LINC01094 NR_038307
11259 BMP2K NM_017593
11260 BMP2K NM_198892
11261 PAQR3 NM_001040202
11262 LINC01088 NR_038342
11263 NAA11 NM_032693
11264 GK2 NM_033214
11265 LINC00989 NR_038826
11266 PCAT4 NR_026555
11267 ANTXR2 NM_058172
11268 ANTXR2 NM_001286781
11269 ANTXR2 NM_001286780
11270 ANTXR2 NM_001145794
11271 PRDM8 NM_020226
11272 PRDM8 NM_001099403
11273 FGF5 NM_033143
11274 FGF5 NM_004464
11275 FGF5 NM_001291812
11276 C4orf22 NM_001206997
11277 C4orf22 NM_152770
11278 BMP3 NM_001201
11279 PRKG2 NM_001282480
11280 PRKG2 NM_001282482
11281 PRKG2 NM_006259
11282 PRKG2 NM_001282485
11283 PRKG2 NM_001282483
11284 PRKG2 NM_001282481
11285 RASGEF1B NM_152545
11286 HNRNPD NM_031370
11287 HNRNPD NM_002138
11288 HNRNPD NM_031369
11289 HNRNPD NM_001003810
11290 HNRNPDL NM_001207000
11291 HNRNPDL NM_031372
11292 HNRNPDL NR_003249
11293 ENOPH1 NM_001292017
11294 ENOPH1 NR_120457
11295 ENOPH1 NM_021204
11296 TMEM150C NM_001080506
11297 LINC00575 NR_024088
11298 LINC00575 NR_024087
11299 SCD5 NM_001037582
11300 SCD5 NM_024906
11301 MIR575 NR_030301
11302 SEC31A NM_001191049
11303 SEC31A NM_001077206
11304 SEC31A NM_001077208
11305 SEC31A NM_001077207
11306 SEC31A NM_014933
11307 SEC31A NM_016211
11308 THAP9-AS1 NR_034075
11309 THAP9-AS1 NR_034076
11310 THAP9-AS1 NR_034077
11311 THAP9 NM_024672
11312 LIN54 NR_110253
11313 LIN54 NM_001288996
11314 LIN54 NM_001115007
11315 LIN54 NR_110254
11316 LIN54 NM_001288997
11317 LIN54 NM_001115008
11318 LIN54 NM_194282
11319 COPS4 NM_016129
11320 COPS4 NM_001258006
11321 PLAC8 NM_016619
11322 PLAC8 NM_001130716
11323 PLAC8 NM_001130715
11324 COQ2 NM_015697
11325 HPSE NM_006665
11326 HPSE NM_001199830
11327 HPSE NM_001098540
11328 HPSE NM_001166498
11329 HELQ NM_133636
11330 MRPS18C NM_016067
11331 FAM175A NM_139076
11332 AGPAT9 NM_001256422
11333 AGPAT9 NM_001256421
11334 AGPAT9 NM_032717
11335 NKX6-1 NM_006168
11336 CDS1 NM_001263
11337 WDFY3 NM_014991
11338 WDFY3-AS2 NR_015359
11339 ARHGAP24 NM_001025616
11340 MIR4451 NR_039656
11341 ARHGAP24 NM_001042669
11342 ARHGAP24 NM_001287805
11343 ARHGAP24 NM_031305
11344 MAPK10 NM_138980
11345 MAPK10 NM_138982
11346 MAPK10 NM_138981
11347 MAPK10 NM_002753
11348 LOC101929064 NR_110879
11349 PTPN13 NM_006264
11350 PTPN13 NM_080685
11351 PTPN13 NM_080683
11352 PTPN13 NM_080684
11353 SLC10A6 NM_197965
11354 C4orf36 NM_144645
11355 LOC100506746 NR_038841
11356 AFF1 NM_001166693
11357 AFF1 NM_005935
11358 KLHL8 NM_001292003
11359 KLHL8 NR_120447
11360 KLHL8 NM_001292006
11361 KLHL8 NM_020803
11362 KLHL8 NM_001292007
11363 MIR5705 NR_049891
11364 HSD17B13 NM_178135
11365 HSD17B13 NM_001136230
11366 HSD17B11 NM_016245
11367 NUDT9 NM_001248011
11368 NUDT9 NM_024047
11369 NUDT9 NM_198038
11370 SPARCL1 NM_001128310
11371 SPARCL1 NM_001291976
11372 SPARCL1 NM_001291977
11373 SPARCL1 NM_004684
11374 DSPP NM_014208
11375 DMP1 NM_001079911
11376 DMP1 NM_004407
11377 IBSP NM_004967
11378 MEPE NM_001184694
11379 MEPE NM_001184696
11380 MEPE NM_001184695
11381 MEPE NM_020203
11382 MEPE NM_001184697
11383 MEPE NM_001291183
11384 SPP1 NM_001040058
11385 SPP1 NM_001251829
11386 SPP1 NM_000582
11387 SPP1 NM_001251830
11388 SPP1 NM_001040060
11389 PKD2 NM_000297
11390 ABCG2 NM_001257386
11391 ABCG2 NM_004827
11392 PPM1K NM_152542
11393 HERC6 NM_001165136
11394 HERC6 NM_017912
11395 HERC5 NM_016323
11396 PIGY NM_001042616
11397 PYURF NM_032906
11398 HERC3 NM_001271602
11399 HERC3 NM_014606
11400 NAP1L5 NM_153757
11401 FAM13A-AS1 NR_002806
11402 FAM13A NM_001265579
11403 FAM13A NM_001015045
11404 FAM13A NM_001265578
11405 FAM13A NM_001265580
11406 FAM13A NM_014883
11407 TIGD2 NM_145715
11408 GPRIN3 NM_198281
11409 SNCA NM_000345
11410 SNCA NM_001146055
11411 SNCA NM_001146054
11412 SNCA NM_007308
11413 SNCA-AS1 NR_045481
11414 MMRN1 NM_007351
11415 CCSER1 NM_001145065
11416 CCSER1 NM_207491
11417 GRID2 NM_001510
11418 GRID2 NM_001286838
11419 ATOH1 NM_005172
11420 SMARCAD1 NM_001128430
11421 SMARCAD1 NM_001128429
11422 SMARCAD1 NM_020159
11423 SMARCAD1 NR_045644
11424 SMARCAD1 NM_001254949
11425 HPGDS NM_014485
11426 PDLIM5 NM_001011516
11427 PDLIM5 NM_001256426
11428 PDLIM5 NR_046186
11429 PDLIM5 NM_001256429
11430 PDLIM5 NM_006457
11431 PDLIM5 NM_001011513
11432 PDLIM5 NM_001256427
11433 PDLIM5 NM_001256428
11434 PDLIM5 NM_001011515
11435 PDLIM5 NM_001256425
11436 BMPR1B NM_001203
11437 BMPR1B NM_001256792
11438 BMPR1B NM_001256793
11439 BMPR1B NM_001256794
11440 UNC5C NM_003728
11441 PDHA2 NM_005390
11442 STPG2-AS1 NR_102713
11443 STPG2 NM_174952
11444 RAP1GDS1 NM_001100428
11445 RAP1GDS1 NM_021159
11446 RAP1GDS1 NM_001100426
11447 RAP1GDS1 NM_001100429
11448 RAP1GDS1 NM_001100430
11449 RAP1GDS1 NM_001100427
11450 TSPAN5 NM_005723
11451 EIF4E NM_001130678
11452 EIF4E NM_001968
11453 EIF4E NM_001130679
11454 METAP1 NM_015143
11455 MIR3684 NR_037455
11456 ADH5 NM_000671
11457 LOC100507053 NR_037884
11458 ADH4 NM_000670
11459 PCNAP1 NR_028270
11460 ADH6 NM_001102470
11461 ADH6 NM_000672
11462 ADH1A NM_000667
11463 ADH1B NM_000668
11464 ADH1B NM_001286650
11465 ADH1C NM_000669
11466 ADH7 NM_000673
11467 ADH7 NM_001166504
11468 C4orf17 NM_032149
11469 TRMT10A NM_001134666
11470 TRMT10A NM_001134665
11471 TRMT10A NM_152292
11472 MTTP NM_000253
11473 DAPP1 NM_014395
11474 LAMTOR3 NM_001243736
11475 LAMTOR3 NM_021970
11476 LAMTOR3 NR_024170
11477 DNAJB14 NM_001031723
11478 DNAJB14 NM_001278310
11479 DNAJB14 NM_001278311
11480 H2AFZ NM_002106
11481 LOC256880 NR_002799
11482 DDIT4L NM_145244
11483 EMCN NM_016242
11484 EMCN NM_001159694
11485 LINC01216 NR_046811
11486 PPP3CA NM_001130691
11487 PPP3CA NM_001130692
11488 PPP3CA NM_000944
11489 MIR8066 NR_107033
11490 FLJ20021 NR_033874
11491 BANK1 NM_017935
11492 BANK1 NM_001127507
11493 BANK1 NM_001083907
11494 SLC39A8 NM_001135147
11495 SLC39A8 NM_001135146
11496 SLC39A8 NM_022154
11497 SLC39A8 NM_001135148
11498 NFKB1 NM_001165412
11499 NFKB1 NM_003998
11500 MANBA NM_005908
11501 UBE2D3 NM_181891
11502 UBE2D3 NM_181889
11503 UBE2D3 NM_003340
11504 UBE2D3 NM_181888
11505 UBE2D3 NM_181892
11506 UBE2D3 NM_181887
11507 UBE2D3 NM_181890
11508 UBE2D3 NM_181893
11509 UBE2D3 NM_181886
11510 CISD2 NM_001008388
11511 SLC9B1 NR_047515
11512 SLC9B1 NM_001100874
11513 SLC9B1 NR_047513
11514 SLC9B1 NM_139173
11515 SLC9B2 NM_178833
11516 BDH2 NM_020139
11517 CENPE NM_001286734
11518 CENPE NM_001813
11519 TACR3 NM_001059
11520 CXXC4 NM_025212
11521 TET2 NM_017628
11522 TET2 NM_001127208
11523 PPA2 NM_176867
11524 PPA2 NM_006903
11525 PPA2 NM_176869
11526 PPA2 NM_176866
11527 ARHGEF38 NM_017700
11528 ARHGEF38 NM_001242729
11529 ARHGEF38-IT1 NR_046840
11530 INTS12 NM_020395
11531 INTS12 NM_001142471
11532 GSTCD NM_024751
11533 GSTCD NM_001031720
11534 NPNT NM_001184690
11535 NPNT NM_001184691
11536 NPNT NM_001184692
11537 NPNT NM_001033047
11538 NPNT NM_001184693
11539 TBCK NM_001163435
11540 TBCK NM_001290768
11541 TBCK NM_001163436
11542 TBCK NM_001163437
11543 TBCK NM_033115
11544 AIMP1 NM_001142415
11545 AIMP1 NM_004757
11546 AIMP1 NM_001142416
11547 GIMD1 NM_001195138
11548 DKK2 NM_014421
11549 PAPSS1 NM_005443
11550 SGMS2 NM_001136258
11551 SGMS2 NM_001136257
11552 SGMS2 NM_152621
11553 CYP2U1 NM_183075
11554 HADH NM_001184705
11555 HADH NM_005327
11556 LEF1 NM_001166119
11557 LEF1 NM_001130714
11558 LEF1 NM_001130713
11559 LEF1 NM_016269
11560 LEF1-AS1 NR_029374
11561 LEF1-AS1 NR_029373
11562 RPL34-AS1 NR_026968
11563 RPL34 NM_000995
11564 RPL34 NM_033625
11565 OSTC NM_001267817
11566 OSTC NM_001267818
11567 OSTC NM_021227
11568 ETNPPL NM_031279
11569 ETNPPL NM_001146627
11570 ETNPPL NM_001146590
11571 ETNPPL NR_027475
11572 ETNPPL NR_027474
11573 COL25A1 NR_045756
11574 COL25A1 NM_198721
11575 COL25A1 NM_001256074
11576 COL25A1 NM_032518
11577 SEC24B-AS1 NR_039978
11578 SEC24B NM_006323
11579 SEC24B NM_001042734
11580 CCDC109B NM_017918
11581 CASP6 NM_032992
11582 CASP6 NM_001226
11583 PLA2G12A NM_030821
11584 CFI NM_000204
11585 GAR1 NM_032993
11586 GAR1 NM_018983
11587 RRH NM_006583
11588 LRIT3 NM_198506
11589 EGF NM_001178130
11590 EGF NM_001178131
11591 EGF NM_001963
11592 ELOVL6 NM_024090
11593 ELOVL6 NM_001130721
11594 ENPEP NM_001977
11595 PITX2 NM_001204399
11596 PITX2 NM_000325
11597 PITX2 NM_001204397
11598 PITX2 NM_153426
11599 PITX2 NM_153427
11600 PITX2 NM_001204398
11601 C4orf32 NM_152400
11602 AP1AR NM_001128426
11603 AP1AR NM_018569
11604 TIFA NM_052864
11605 ALPK1 NM_001253884
11606 ALPK1 NM_001102406
11607 ALPK1 NM_025144
11608 NEUROG2 NM_024019
11609 ZGRF1 NM_018392
11610 LARP7 NM_001267039
11611 LARP7 NR_049768
11612 LARP7 NM_016648
11613 LARP7 NM_015454
11614 MIR367 NR_029860
11615 MIR302D NR_029859
11616 MIR302A NR_029835
11617 MIR302C NR_029858
11618 MIR302B NR_029857
11619 ANK2 NM_001127493
11620 ANK2 NM_001148
11621 ANK2 NM_020977
11622 MIR1243 NR_031641
11623 MIR8082 NR_107049
11624 CAMK2D NM_172128
11625 CAMK2D NM_001221
11626 CAMK2D NM_172127
11627 CAMK2D NM_172129
11628 CAMK2D NM_172114
11629 CAMK2D NM_172115
11630 ARSJ NM_024590
11631 UGT8 NM_001128174
11632 UGT8 NM_003360
11633 MIR577 NR_030303
11634 NDST4 NM_022569
11635 MIR1973 NR_031737
11636 TRAM1L1 NM_152402
11637 NDST3 NM_004784
11638 SNHG8 NR_034011
11639 SNHG8 NR_034010
11640 SNHG8 NR_003584
11641 SNORA24 NR_002963
11642 PRSS12 NM_003619
11643 CEP170P1 NR_003135
11644 LOC729218 NR_109983
11645 LOC729218 NR_103825
11646 METTL14 NM_020961
11647 SEC24D NM_014822
11648 SYNPO2 NM_001286754
11649 SYNPO2 NM_001128933
11650 SYNPO2 NM_001286755
11651 SYNPO2 NM_133477
11652 SYNPO2 NM_001128934
11653 MYOZ2 NM_016599
11654 USP53 NM_019050
11655 C4orf3 NM_001170330
11656 C4orf3 NM_001001701
11657 FABP2 NM_000134
11658 LINC01061 NR_037596
11659 LOC645513 NR_037630
11660 PDE5A NM_033437
11661 PDE5A NM_001083
11662 PDE5A NM_033430
11663 LINC01365 NR_110660
11664 MAD2L1 NM_002358
11665 PRDM5 NM_018699
11666 NDNF NM_024574
11667 TNIP3 NM_001128843
11668 TNIP3 NM_001244764
11669 TNIP3 NM_024873
11670 QRFPR NM_198179
11671 ANXA5 NM_001154
11672 TMEM155 NM_152399
11673 PP12613 NR_024365
11674 EXOSC9 NM_005033
11675 EXOSC9 NM_001034194
11676 CCNA2 NM_001237
11677 BBS7 NM_176824
11678 BBS7 NM_018190
11679 TRPC3 NM_003305
11680 TRPC3 NM_001130698
11681 KIAA1109 NM_015312
11682 ADAD1 NM_139243
11683 ADAD1 NM_001159285
11684 ADAD1 NM_001159295
11685 IL2 NM_000586
11686 IL21 NM_021803
11687 IL21 NM_001207006
11688 IL21-AS1 NR_104126
11689 CETN4P NR_024041
11690 BBS12 NM_001178007
11691 BBS12 NM_152618
11692 FGF2 NM_002006
11693 NUDT6 NM_198041
11694 NUDT6 NM_007083
11695 SPATA5 NM_145207
11696 SPRY1 NM_199327
11697 SPRY1 NM_001258038
11698 SPRY1 NM_001258039
11699 SPRY1 NM_005841
11700 LINC01091 NR_027105
11701 LINC01091 NR_027106
11702 LOC101927087 NR_110838
11703 ANKRD50 NM_020337
11704 ANKRD50 NM_001167882
11705 FAT4 NM_001291285
11706 FAT4 NM_001291303
11707 FAT4 NM_024582
11708 MIR2054 NR_031746
11709 INTU NM_015693
11710 SLC25A31 NM_031291
11711 HSPA4L NM_014278
11712 PLK4 NM_001190799
11713 PLK4 NM_014264
11714 PLK4 NM_001190801
11715 MFSD8 NM_152778
11716 C4orf29 NM_001039717
11717 LARP1B NM_018078
11718 LARP1B NM_178043
11719 LARP1B NM_032239
11720 LARP1B NM_001278604
11721 PGRMC2 NM_006320
11722 JADE1 NM_199320
11723 JADE1 NM_024900
11724 JADE1 NM_001287437
11725 JADE1 NM_001287440
11726 JADE1 NM_001287439
11727 JADE1 NM_001287442
11728 JADE1 NM_001287441
11729 JADE1 NM_001287443
11730 SCLT1 NM_144643
11731 C4orf33 NM_173487
11732 C4orf33 NM_001099783
11733 LOC101927282 NR_110753
11734 PCDH10 NM_032961
11735 PCDH10 NM_020815
11736 PABPC4L NM_001114734
11737 LINC00613 NR_103763
11738 LINC00613 NR_103762
11739 PCDH18 NM_019035
11740 LINC00616 NR_037866
11741 SLC7A11-AS1 NR_038380
11742 SLC7A11 NM_014331
11743 LINC00499 NR_051987
11744 CCRN4L NM_012118
11745 ELF2 NM_001276459
11746 ELF2 NM_201999
11747 ELF2 NM_001276458
11748 ELF2 NM_001276457
11749 ELF2 NM_006874
11750 MGARP NM_032623
11751 NDUFC1 NM_001184988
11752 NDUFC1 NM_001184986
11753 NDUFC1 NM_001184991
11754 NDUFC1 NM_001184989
11755 NDUFC1 NM_001184987
11756 NDUFC1 NM_001184990
11757 NDUFC1 NM_002494
11758 NAA15 NM_057175
11759 RAB33B NM_031296
11760 SETD7 NM_030648
11761 MGST2 NM_001204367
11762 MGST2 NM_001204368
11763 MGST2 NM_001204366
11764 MGST2 NM_002413
11765 MAML3 NM_018717
11766 SCOC NM_032547
11767 SCOC-AS1 NR_033939
11768 SCOC NM_001153635
11769 SCOC NM_001153446
11770 SCOC NM_001153690
11771 SCOC NM_001153585
11772 SCOC NM_001153484
11773 SCOC NM_001153663
11774 SCOC NM_001153552
11775 CLGN NM_001130675
11776 CLGN NM_004362
11777 LOC152586 NM_001277353
11778 ELMOD2 NM_153702
11779 UCP1 NM_021833
11780 TBC1D9 NM_015130
11781 TNRC18P1 NR_077215
11782 RNF150 NM_020724
11783 ZNF330 NM_001292002
11784 ZNF330 NM_014487
11785 IL15 NM_000585
11786 IL15 NM_172175
11787 IL15 NR_037840
11788 INPP4B NM_003866
11789 INPP4B NM_001101669
11790 USP38 NM_001290325
11791 USP38 NM_032557
11792 USP38 NM_001290326
11793 GAB1 NM_207123
11794 GAB1 NM_002039
11795 SMARCA5 NM_003601
11796 SMARCA5-AS1 NR_104027
11797 GUSBP5 NR_003675
11798 FREM3 NM_001168235
11799 GYPE NM_198682
11800 GYPE NM_002102
11801 GYPB NM_002100
11802 GYPA NM_002099
11803 HHIP-AS1 NR_037595
11804 HHIP NM_022475
11805 ANAPC10 NM_001256711
11806 ANAPC10 NM_001256709
11807 ANAPC10 NM_014885
11808 ANAPC10 NM_001256707
11809 ANAPC10 NM_001256710
11810 ANAPC10 NR_046345
11811 ANAPC10 NM_001256712
11812 ANAPC10 NM_001256708
11813 ANAPC10 NM_001256706
11814 ABCE1 NM_002940
11815 ABCE1 NM_001040876
11816 OTUD4 NM_001102653
11817 OTUD4 NM_017493
11818 SMAD1 NM_005900
11819 SMAD1 NM_001003688
11820 SMAD1-AS2 NR_108077
11821 MMAA NM_172250
11822 C4orf51 NM_001080531
11823 ZNF827 NM_178835
11824 LINC01095 NR_038331
11825 LSM6 NM_007080
11826 SLC10A7 NM_001029998
11827 MIR7849 NR_107003
11828 SLC10A7 NM_032128
11829 POU4F2 NM_004575
11830 TTC29 NM_031956
11831 EDNRA NR_045958
11832 EDNRA NM_001166055
11833 EDNRA NM_001957
11834 EDNRA NM_001256283
11835 TMEM184C NM_018241
11836 PRMT9 NM_138364
11837 ARHGAP10 NM_024605
11838 MIR4799 NR_039962
11839 NR3C2 NM_001166104
11840 NR3C2 NM_000901
11841 DCLK2 NM_001040261
11842 DCLK2 NR_036614
11843 DCLK2 NM_001040260
11844 LRBA NM_001199282
11845 LRBA NM_006726
11846 MAB21L2 NM_006439
11847 RPS3A NM_001267699
11848 RPS3A NM_001006
11849 SNORD73A NR_000007
11850 SH3D19 NM_001128924
11851 SH3D19 NM_001243349
11852 SH3D19 NM_001128923
11853 SH3D19 NM_001009555
11854 PRSS48 NM_183375
11855 FAM160A1 NM_001109977
11856 PET112 NM_004564
11857 FBXW7 NM_018315
11858 FBXW7 NM_001013415
11859 FBXW7 NM_033632
11860 DEAR NR_104273
11861 FBXW7 NM_001257069
11862 MIR3140 NR_036092
11863 DKFZP434I0714 NR_033797
11864 MIR4453 NR_039658
11865 TMEM154 NM_152680
11866 TIGD4 NM_145720
11867 ARFIP1 NM_014447
11868 ARFIP1 NM_001287433
11869 ARFIP1 NM_001287431
11870 ARFIP1 NM_001025593
11871 ARFIP1 NM_001025595
11872 ARFIP1 NM_001287432
11873 FHDC1 NM_033393
11874 TRIM2 NM_001130067
11875 TRIM2 NM_015271
11876 ANXA2P1 NR_001562
11877 MND1 NM_032117
11878 MND1 NM_001253861
11879 MND1 NR_045605
11880 KIAA0922 NM_015196
11881 KIAA0922 NM_001131007
11882 TLR2 NM_003264
11883 RNF175 NM_173662
11884 SFRP2 NM_003013
11885 DCHS2 NM_017639
11886 DCHS2 NM_001142552
11887 DCHS2 NM_001142553
11888 PLRG1 NM_002669
11889 PLRG1 NM_001201564
11890 FGB NM_005141
11891 FGB NM_001184741
11892 FGA NM_000508
11893 FGA NM_021871
11894 FGG NM_000509
11895 FGG NM_021870
11896 LRAT NM_004744
11897 RBM46 NM_001277171
11898 RBM46 NM_144979
11899 RBM46 NM_001277173
11900 NPY2R NM_000910
11901 MAP9 NM_001039580
11902 GUCY1A3 NM_000856
11903 GUCY1A3 NM_001130687
11904 GUCY1A3 NM_001130682
11905 GUCY1A3 NM_001256449
11906 GUCY1A3 NM_001130683
11907 GUCY1A3 NM_001130685
11908 GUCY1A3 NM_001130684
11909 GUCY1B3 NM_001291952
11910 GUCY1B3 NM_001291955
11911 GUCY1B3 NM_001291953
11912 GUCY1B3 NM_000857
11913 GUCY1B3 NM_001291951
11914 GUCY1B3 NM_001291954
11915 ASIC5 NM_017419
11916 TDO2 NM_005651
11917 CTSO NM_001334
11918 PDGFC NR_036641
11919 PDGFC NM_016205
11920 GLRB NM_000824
11921 GLRB NM_001166061
11922 GLRB NM_001166060
11923 GRIA2 NM_000826
11924 GRIA2 NM_001083619
11925 GRIA2 NM_001083620
11926 LOC340017 NR_026992
11927 FAM198B NM_001128424
11928 FAM198B NM_016613
11929 FAM198B NM_001031700
11930 TMEM144 NM_018342
11931 RXFP1 NM_001253733
11932 RXFP1 NM_001253732
11933 RXFP1 NR_045582
11934 RXFP1 NM_001253729
11935 RXFP1 NR_045583
11936 RXFP1 NR_045580
11937 RXFP1 NM_001253730
11938 RXFP1 NM_001253727
11939 RXFP1 NM_001253728
11940 RXFP1 NR_045579
11941 RXFP1 NR_045581
11942 RXFP1 NM_021634
11943 RXFP1 NR_045584
11944 C4orf46 NR_077235
11945 C4orf46 NM_001008393
11946 C4orf46 NR_077234
11947 ETFDH NM_004453
11948 ETFDH NM_001281737
11949 ETFDH NM_001281738
11950 PPID NM_005038
11951 FNIP2 NM_020840
11952 C4orf45 NM_152543
11953 MIR3688-1 NR_037459
11954 MIR3688-2 NR_039963
11955 RAPGEF2 NM_014247
11956 FSTL5 NM_001128427
11957 FSTL5 NM_020116
11958 FSTL5 NM_001128428
11959 NAF1 NM_001128931
11960 NAF1 NM_138386
11961 NPY1R NM_000909
11962 NPY5R NM_006174
11963 TKTL2 NM_032136
11964 TMA16 NM_018352
11965 MARCH1 NM_017923
11966 MARCH1 NM_001166373
11967 ANP32C NM_012403
11968 MIR5684 NR_049864
11969 LINC01207 NR_038834
11970 APELA NR_038825
11971 TRIM61 NM_001012414
11972 FAM218A NM_153027
11973 TRIM60 NM_152620
11974 TRIM60 NM_001258025
11975 TMEM192 NM_001100389
11976 KLHL2 NM_007246
11977 KLHL2 NM_001161521
11978 KLHL2 NM_001161522
11979 GK3P NR_026575
11980 MSMO1 NM_001017369
11981 MSMO1 NM_006745
11982 CPE NM_001873
11983 MIR578 NR_030304
11984 TLL1 NM_012464
11985 TLL1 NM_001204760
11986 SPOCK3 NM_016950
11987 SPOCK3 NM_001204353
11988 SPOCK3 NM_001204356
11989 SPOCK3 NM_001040159
11990 SPOCK3 NM_001204354
11991 SPOCK3 NM_001251967
11992 SPOCK3 NM_001204352
11993 SPOCK3 NM_001204355
11994 SPOCK3 NM_001204358
11995 ANXA10 NM_007193
11996 DDX60 NM_017631
11997 DDX60L NM_001012967
11998 DDX60L NM_001291510
11999 PALLD NM_016081
12000 PALLD NM_001166108
12001 PALLD NM_001166109
12002 PALLD NM_001166110
12003 CBR4 NM_032783
12004 SH3RF1 NM_020870
12005 NEK1 NM_012224
12006 NEK1 NM_001199399
12007 NEK1 NM_001199398
12008 NEK1 NM_001199397
12009 NEK1 NM_001199400
12010 CLCN3 NM_001243372
12011 CLCN3 NM_173872
12012 CLCN3 NM_001829
12013 CLCN3 NM_001243374
12014 C4orf27 NM_017867
12015 LOC100506085 NR_037878
12016 MFAP3L NM_001009554
12017 MFAP3L NM_021647
12018 AADAT NM_001286682
12019 AADAT NM_182662
12020 AADAT NM_001286683
12021 AADAT NM_016228
12022 LOC100506122 NR_038838
12023 MIR6082 NR_106730
12024 GALNTL6 NM_001034845
12025 GALNT7 NM_017423
12026 HMGB2 NM_001130689
12027 HMGB2 NM_001130688
12028 HMGB2 NM_002129
12029 SAP30 NM_003864
12030 SCRG1 NM_007281
12031 HAND2 NM_021973
12032 HAND2-AS1 NR_003679
12033 FBXO8 NM_012180
12034 CEP44 NM_001040157
12035 CEP44 NM_001145314
12036 MIR4276 NR_036236
12037 HPGD NM_001145816
12038 HPGD NM_000860
12039 HPGD NM_001256306
12040 HPGD NM_001256301
12041 HPGD NM_001256307
12042 HPGD NM_001256305
12043 GLRA3 NM_001042543
12044 GLRA3 NM_006529
12045 ADAM29 NM_001130704
12046 ADAM29 NM_001278125
12047 ADAM29 NM_001278126
12048 ADAM29 NM_001130705
12049 ADAM29 NM_001278127
12050 ADAM29 NM_014269
12051 ADAM29 NM_001130703
12052 GPM6A NM_005277
12053 GPM6A NM_001261448
12054 GPM6A NM_201592
12055 GPM6A NR_048571
12056 GPM6A NM_001261447
12057 GPM6A NM_201591
12058 WDR17 NM_181265
12059 WDR17 NM_170710
12060 SPATA4 NM_144644
12061 ASB5 NM_080874
12062 SPCS3 NM_021928
12063 VEGFC NM_005429
12064 NEIL3 NM_018248
12065 AGA NM_001171988
12066 AGA NM_000027
12067 AGA NR_033655
12068 LINC01098 NR_028342
12069 LINC01099 NR_108092
12070 LINC01099 NR_108093
12071 LINC00290 NR_033918
12072 MGC45800 NR_027107
12073 MIR1305 NR_031640
12074 TENM3 NM_001080477
12075 DCTD NM_001921
12076 DCTD NM_001012732
12077 FAM92A1P2 NR_003612
12078 WWC2-AS2 NR_024008
12079 WWC2 NM_024949
12080 CLDN22 NM_001111319
12081 CLDN24 NM_001185149
12082 CDKN2AIP NM_017632
12083 LOC389247 NR_033995
12084 ING2 NM_001564
12085 ING2 NM_001291959
12086 RWDD4 NM_152682
12087 TRAPPC11 NM_199053
12088 TRAPPC11 NM_021942
12089 STOX2 NM_020225
12090 ENPP6 NM_153343
12091 LOC728175 NR_040108
12092 IRF2 NM_002199
12093 CASP3 NM_032991
12094 CASP3 NM_004346
12095 PRIMPOL NM_152683
12096 CENPU NR_104593
12097 CENPU NM_024629
12098 ACSL1 NM_001286711
12099 ACSL1 NM_001286708
12100 ACSL1 NM_001286710
12101 ACSL1 NM_001995
12102 ACSL1 NM_001286712
12103 SLED1 NR_003542
12104 LOC731424 NR_037867
12105 MIR3945 NR_037510
12106 LINC01093 NR_039976
12107 LINC01093 NR_039975
12108 LINC01093 NR_039977
12109 HELT NM_001029887
12110 SLC25A4 NM_001151
12111 KIAA1430 NM_020827
12112 KIAA1430 NM_001292033
12113 SNX25 NM_031953
12114 LRP2BP NM_018409
12115 ANKRD37 NM_181726
12116 UFSP2 NR_028085
12117 UFSP2 NM_018359
12118 C4orf47 NM_001114357
12119 CCDC110 NM_001145411
12120 CCDC110 NM_152775
12121 PDLIM3 NM_001257962
12122 PDLIM3 NM_014476
12123 PDLIM3 NR_047562
12124 PDLIM3 NM_001257963
12125 PDLIM3 NM_001114107
12126 SORBS2 NM_003603
12127 SORBS2 NM_021069
12128 SORBS2 NM_001145671
12129 SORBS2 NM_001145672
12130 SORBS2 NM_001145675
12131 SORBS2 NM_001270771
12132 SORBS2 NM_001145673
12133 SORBS2 NM_001145674
12134 SORBS2 NM_001145670
12135 TLR3 NM_003265
12136 FAM149A NM_015398
12137 FAM149A NM_001006655
12138 FLJ38576 NR_046264
12139 CYP4V2 NM_207352
12140 KLKB1 NM_000892
12141 F11 NM_000128
12142 F11-AS1 NR_033900
12143 MTNR1A NM_005958
12144 FAT1 NM_005245
12145 LOC339975 NR_038931
12146 LOC100506272 NR_110436
12147 ZFP42 NM_174900
12148 TRIML2 NM_173553
12149 TRIML1 NM_178556
12150 LINC01060 NR_033869
12151 FRG1 NM_004477
12152 FRG2 NM_001005217_1
12153 FRG2 NM_001286820_1
